account_id,account_name,industry_id,region_id,employee_count,annual_revenue,account_tier,created_at
ACC-0,"Calhoun, Schmidt and Brown",IND-0,REG-2,91,14411579,SMB,2022-09-08
ACC-1,"Miller, Lopez and Larson",IND-1,REG-4,4657,806396806,Enterprise,2022-03-31
ACC-2,"Hensley, Powell and David",IND-0,REG-0,704,226130432,Mid-Market,2022-04-06
ACC-3,"Sanchez, Wheeler and Harvey",IND-8,REG-4,37,8213297,SMB,2022-01-28
ACC-4,Sandoval-Cunningham,IND-8,REG-3,81,16544088,SMB,2022-08-14
ACC-5,Donovan-Harris,IND-4,REG-0,67,27399248,SMB,2022-06-13
ACC-6,"Edwards, Baker and Anderson",IND-5,REG-2,99,31835529,SMB,2022-06-09
ACC-7,"Evans, Stewart and Walton",IND-1,REG-0,320,88471040,Mid-Market,2023-01-25
ACC-8,Smith PLC,IND-5,REG-4,199,57353392,Mid-Market,2022-09-28
ACC-9,"Ferrell, Jones and Lewis",IND-7,REG-4,926,113694280,Mid-Market,2022-05-08
ACC-10,Anderson-Bailey,IND-8,REG-2,58,8196154,SMB,2023-10-06
ACC-11,Suarez LLC,IND-3,REG-0,6925,2788683650,Enterprise,2022-02-16
ACC-12,Moore-Bass,IND-4,REG-0,777,170539068,Mid-Market,2022-08-27
ACC-13,"Turner, Riggs and Roman",IND-4,REG-3,22,6584490,SMB,2023-10-13
ACC-14,"Smith, Montoya and Evans",IND-5,REG-2,56,10375512,SMB,2022-08-03
ACC-15,"Garcia, Humphrey and Baker",IND-1,REG-4,95,22797435,SMB,2023-10-13
ACC-16,Newton and Sons,IND-3,REG-1,31,11781333,SMB,2023-04-19
ACC-17,Campbell-Clark,IND-8,REG-1,58,14008740,SMB,2023-12-03
ACC-18,Harris-Walters,IND-3,REG-0,51,6595677,SMB,2022-11-20
ACC-19,Wagner-King,IND-1,REG-1,61,14662753,SMB,2023-08-04
ACC-20,Davis Group,IND-5,REG-1,997,474963821,Mid-Market,2023-11-03
ACC-21,Williams-Cook,IND-7,REG-1,73,22442025,SMB,2022-09-29
ACC-22,Walsh LLC,IND-8,REG-4,27,6191181,SMB,2022-09-27
ACC-23,Figueroa PLC,IND-9,REG-3,84,27268248,SMB,2023-01-06
ACC-24,"Patterson, Smith and Jones",IND-8,REG-3,38,6555950,SMB,2022-04-04
ACC-25,"Mckee, Gardner and Davenport",IND-1,REG-1,873,108864846,Mid-Market,2023-10-05
ACC-26,"Tran, Jordan and Williams",IND-6,REG-4,30,13703040,SMB,2022-03-07
ACC-27,Nolan-Flynn,IND-9,REG-3,59,17704602,SMB,2023-06-26
ACC-28,Nolan and Sons,IND-0,REG-0,42,16382058,SMB,2023-11-30
ACC-29,"Wright, Garcia and Deleon",IND-4,REG-2,78,38506728,SMB,2022-04-25
