touchpoint_id,lead_id,opportunity_id,campaign_id,interaction_date,interaction_type
f5be66f8-2395-45e4-a6d5-3a71cf4b34fd,LD-0,,CMP-22,2023-12-27,Form Fill
24aa99d6-f87a-42c5-b53a-1f96b24bebc4,LD-1,,CMP-48,2023-09-07,Form Fill
fcfef69e-e73b-4821-9491-dc4252135870,LD-1,OPP-0,CMP-92,2023-09-17,Webinar
0ad5b6fe-9449-4f7b-a8bb-e694d2ccff63,LD-2,,CMP-7,2022-01-20,Form Fill
167b363d-ed70-4a71-bbc8-60765f4ed197,LD-3,,CMP-1,2023-06-30,Form Fill
a9dd357b-50e4-457e-bf93-496b93be3878,LD-4,,CMP-93,2023-11-18,Form Fill
342cca4a-fe88-49a7-b143-f086013ec5dc,LD-5,,CMP-87,2023-12-17,Form Fill
e635d57b-a5a3-4c09-aad0-f9332bf06c0b,LD-6,,CMP-2,2023-07-17,Form Fill
411af57b-f26e-4797-a809-a13588327cb4,LD-7,,CMP-99,2023-09-19,Form Fill
596f6f68-a30b-41fb-ada3-170472d26940,LD-8,,CMP-1,2022-08-17,Form Fill
a1b97460-5974-4121-81a7-a78f81dcf6e9,LD-9,,CMP-16,2023-12-09,Form Fill
0f80f810-a494-4171-961f-f17910ba02fe,LD-10,,CMP-33,2023-09-26,Form Fill
35cd20f3-aa79-47f4-9455-6c84fbbe0cd0,LD-11,,CMP-14,2023-12-26,Form Fill
e1ea9bb9-79cb-4dc2-9c6c-42b2cf618620,LD-12,,CMP-12,2023-01-21,Form Fill
7cc99d15-e1e3-4505-a8f4-b5190ba584cb,LD-13,,CMP-18,2022-04-24,Form Fill
b5eaa196-112d-44e3-92e5-1a64178c6af2,LD-14,,CMP-62,2023-12-01,Form Fill
0297dcfb-fb55-433c-8dfb-8a757fb96480,LD-15,,CMP-45,2023-12-11,Form Fill
5ddaec53-3620-450b-8b1f-09a0e3e53a06,LD-16,,CMP-86,2023-07-27,Form Fill
1e06ae3c-8788-4c71-96be-80e8210d4fc1,LD-17,,CMP-77,2022-09-14,Form Fill
63988f5f-a118-4888-9065-c2c6382d48b3,LD-18,,CMP-89,2022-05-28,Form Fill
8f121ce3-895d-4116-81bc-8b32bd86a2f2,LD-19,,CMP-91,2023-08-19,Form Fill
55d5eecb-5bbe-4059-b1b1-e27d7469f0df,LD-20,,CMP-39,2023-05-23,Form Fill
397eb7ca-c9c3-45c8-b675-6b78493ce2e4,LD-21,,CMP-61,2023-01-28,Form Fill
c3f0591b-efd2-4430-be68-76d983188451,LD-22,,CMP-9,2022-09-22,Form Fill
96ead968-c729-473d-a922-fcbce566f849,LD-23,,CMP-13,2023-12-10,Form Fill
5cad39ba-5b44-45e9-814c-f4e5c90208cd,LD-24,,CMP-25,2022-11-23,Form Fill
621fdb84-5955-49df-bccf-d71244865f70,LD-25,,CMP-73,2023-11-18,Form Fill
e7496e2d-94b0-4885-92fa-8d062a713b3f,LD-26,,CMP-27,2023-12-13,Form Fill
c123ce14-41ca-405f-8d6e-8a55e1f49466,LD-27,,CMP-18,2022-08-08,Form Fill
ac5ca653-16c1-4cc8-ba1c-b4d14dd06e34,LD-28,,CMP-70,2023-11-03,Form Fill
6993129a-4ad5-4d16-bd42-127ed33b0be2,LD-29,,CMP-96,2023-12-01,Form Fill
3d7803c4-b873-4d8b-886c-6a0cb967f401,LD-30,,CMP-71,2023-05-11,Form Fill
1275f250-8461-4456-9770-75050504d176,LD-31,,CMP-79,2023-11-07,Form Fill
22737a14-6598-4d9e-b2b1-3ff20352c7ef,LD-32,,CMP-79,2023-11-02,Form Fill
9d2472e4-70a4-4754-8a61-8f5788d02313,LD-33,,CMP-68,2023-08-07,Form Fill
bf532aa7-00b2-4a14-894a-f857a75b12ca,LD-34,,CMP-70,2023-11-11,Form Fill
24388b36-69fb-4fc7-bc46-1d62b7685c2d,LD-35,,CMP-15,2022-09-13,Form Fill
67651ebd-7288-4fe0-9e3f-ff7c3375b2cd,LD-36,,CMP-6,2023-11-09,Form Fill
ed461758-1f5f-45bf-9b29-32913798440c,LD-37,,CMP-8,2023-11-02,Form Fill
adfec8dd-b33b-46bd-8fba-df599bf41c29,LD-38,,CMP-84,2023-12-31,Form Fill
66371fe9-051f-4d07-b56b-961263cd0784,LD-39,,CMP-87,2023-08-13,Form Fill
4f6263aa-6458-4b04-b97e-051e09c82fcf,LD-40,,CMP-43,2023-12-20,Form Fill
7086a5bb-f932-4281-98d1-76fb6067afe2,LD-41,,CMP-80,2023-12-27,Form Fill
69f9f7d7-065e-4566-9811-604f2c87368c,LD-42,,CMP-34,2023-11-25,Form Fill
00afccb9-960b-4b0b-9488-5862a17deac9,LD-43,,CMP-28,2023-12-10,Form Fill
a3219a5c-1487-4689-98c2-e85117c6b736,LD-44,,CMP-22,2023-12-15,Form Fill
46a66fba-208c-4bf3-98a5-bd1a8853c427,LD-45,,CMP-30,2023-06-26,Form Fill
68cd5e07-647f-44f5-9ed0-5c5c6a19118e,LD-46,,CMP-69,2023-08-03,Form Fill
037b4bb0-4e9e-4eac-bb3e-87b98c5ed735,LD-47,,CMP-13,2023-09-27,Form Fill
5cea6afd-8f92-49e6-95c6-66f30714e366,LD-48,,CMP-38,2023-06-06,Form Fill
