lead_id,contact_id,account_id,campaign_id,status,created_at,mql_date,sql_date,is_converted
LD-0,,ACC-6425,CMP-22,MQL,2023-12-27,2024-01-01,,False
LD-1,CON-19142,ACC-5534,CMP-48,Converted,2023-09-07,2023-09-11,2023-09-21,True
LD-2,CON-19896,ACC-7275,CMP-7,Raw,2022-01-20,,,False
LD-3,,ACC-207,CMP-1,MQL,2023-06-30,2023-07-01,,False
LD-4,CON-10045,ACC-4204,CMP-93,MQL,2023-11-18,2023-11-22,,False
LD-5,,ACC-5940,CMP-87,Raw,2023-12-17,,,False
LD-6,,ACC-8194,CMP-2,Raw,2023-07-17,,,False
LD-7,CON-13551,ACC-20,CMP-99,Raw,2023-09-19,,,False
LD-8,,ACC-199,CMP-1,Raw,2022-08-17,,,False
LD-9,,ACC-4001,CMP-16,Raw,2023-12-09,,,False
LD-10,,ACC-554,CMP-33,MQL,2023-09-26,2023-10-01,,False
LD-11,,ACC-5412,CMP-14,Raw,2023-12-26,,,False
LD-12,CON-11656,ACC-3811,CMP-12,Raw,2023-01-21,,,False
LD-13,,ACC-7753,CMP-18,Raw,2022-04-24,,,False
LD-14,CON-16476,ACC-6763,CMP-62,Raw,2023-12-01,,,False
LD-15,,ACC-7003,CMP-45,SQL,2023-12-11,2023-12-12,2023-12-16,False
LD-16,,ACC-3459,CMP-86,MQL,2023-07-27,2023-07-28,,False
LD-17,,ACC-112,CMP-77,Raw,2022-09-14,,,False
LD-18,CON-3789,ACC-7697,CMP-89,MQL,2022-05-28,2022-06-01,,False
LD-19,,ACC-1314,CMP-91,Raw,2023-08-19,,,False
LD-20,,ACC-4230,CMP-39,Raw,2023-05-23,,,False
LD-21,CON-9600,ACC-3511,CMP-61,Raw,2023-01-28,,,False
LD-22,CON-5928,ACC-8731,CMP-9,MQL,2022-09-22,2022-09-23,,False
LD-23,CON-18708,ACC-7326,CMP-13,Raw,2023-12-10,,,False
LD-24,,ACC-1373,CMP-25,MQL,2022-11-23,2022-11-26,,False
LD-25,,ACC-2913,CMP-73,MQL,2023-11-18,2023-11-23,,False
LD-26,,ACC-1137,CMP-27,Raw,2023-12-13,,,False
LD-27,,ACC-3022,CMP-18,Raw,2022-08-08,,,False
LD-28,,ACC-5752,CMP-70,Raw,2023-11-03,,,False
LD-29,,ACC-8869,CMP-96,Raw,2023-12-01,,,False
LD-30,CON-7110,ACC-1967,CMP-71,Raw,2023-05-11,,,False
LD-31,,ACC-2806,CMP-79,Raw,2023-11-07,,,False
LD-32,CON-3062,ACC-471,CMP-79,Raw,2023-11-02,,,False
LD-33,,ACC-4386,CMP-68,SQL,2023-08-07,2023-08-08,2023-08-17,False
LD-34,CON-19668,ACC-6393,CMP-70,SQL,2023-11-11,2023-11-16,2023-11-30,False
LD-35,,ACC-6427,CMP-15,MQL,2022-09-13,2022-09-17,,False
LD-36,,ACC-8362,CMP-6,MQL,2023-11-09,2023-11-10,,False
LD-37,,ACC-8428,CMP-8,Raw,2023-11-02,,,False
LD-38,CON-8394,ACC-6481,CMP-84,Raw,2023-12-31,,,False
LD-39,,ACC-1086,CMP-87,Raw,2023-08-13,,,False
LD-40,CON-17726,ACC-8980,CMP-43,Raw,2023-12-20,,,False
LD-41,,ACC-4701,CMP-80,Raw,2023-12-27,,,False
LD-42,,ACC-954,CMP-34,Raw,2023-11-25,,,False
LD-43,CON-10360,ACC-5800,CMP-28,Raw,2023-12-10,,,False
LD-44,CON-13814,ACC-1745,CMP-22,Raw,2023-12-15,,,False
LD-45,CON-3008,ACC-7284,CMP-30,Raw,2023-06-26,,,False
LD-46,,ACC-7637,CMP-69,Raw,2023-08-03,,,False
LD-47,CON-12807,ACC-8828,CMP-13,Raw,2023-09-27,,,False
LD-48,,ACC-3515,CMP-38,Raw,2023-06-06,,,False
LD-49,,ACC-9664,CMP-62,Raw,2023-12-16,,,False
LD-50,,ACC-6169,CMP-64,Raw,2023-12-26,,,False
LD-51,,ACC-3870,CMP-38,Raw,2023-01-04,,,False
LD-52,,ACC-3027,CMP-67,Raw,2023-12-31,,,False
LD-53,,ACC-2223,CMP-44,Raw,2022-11-03,,,False
LD-54,CON-3228,ACC-2882,CMP-41,Raw,2023-10-22,,,False
LD-55,,ACC-1067,CMP-80,MQL,2023-03-23,2023-03-27,,False
LD-56,,ACC-1913,CMP-21,Raw,2023-06-25,,,False
LD-57,,ACC-6130,CMP-58,SQL,2023-07-20,2023-07-25,2023-08-07,False
LD-58,,ACC-5877,CMP-20,Raw,2023-10-09,,,False
LD-59,,ACC-6122,CMP-76,MQL,2023-04-10,2023-04-13,,False
LD-60,,ACC-5355,CMP-41,SQL,2023-09-27,2023-09-30,2023-10-13,False
LD-61,CON-6854,ACC-5249,CMP-71,Raw,2023-04-06,,,False
LD-62,,ACC-3279,CMP-31,Raw,2023-09-01,,,False
LD-63,CON-8856,ACC-5900,CMP-24,Raw,2023-11-09,,,False
LD-64,,ACC-360,CMP-66,Raw,2023-01-24,,,False
LD-65,,ACC-7419,CMP-19,MQL,2023-12-11,2023-12-12,,False
