opportunity_id,account_id,owner_id,lead_source_id,amount,tcv,mrr,contract_months,stage,forecast_category,win_probability,created_date,close_date,renewal_date,is_won,is_closed
OPP-0,ACC-5534,AE-9,CMP-48,22239,66717.0,1853.25,36,Negotiation,Commit,0.7063749512259508,2023-09-21,,,False,False
OPP-1,ACC-7749,AE-13,CMP-72,7058,14116.0,588.17,24,Closed Lost,Closed,0.0,2023-09-20,2023-10-17,,False,True
OPP-2,ACC-8056,AE-6,CMP-23,23835,23835.0,1986.25,12,Demo,Upside,0.44135378840160433,2022-05-29,,,False,False
OPP-3,ACC-166,AE-5,CMP-29,9318,9318.0,776.5,12,Closed Lost,Closed,0.0,2023-09-14,2023-10-06,,False,True
OPP-4,ACC-8684,AE-1,CMP-15,23939,47878.0,1994.92,24,Closed Won,Closed,1.0,2022-09-06,2022-10-20,2024-10-09,True,True
OPP-5,ACC-6204,AE-2,CMP-38,17702,53106.0,1475.17,36,Closed Won,Closed,1.0,2022-08-16,2022-09-02,2025-08-17,True,True
OPP-6,ACC-5805,AE-18,CMP-12,13064,39192.0,1088.67,36,Negotiation,Upside,0.552750655802132,2022-12-25,,,False,False
OPP-7,ACC-5067,AE-12,CMP-82,13090,26180.0,1090.83,24,Closed Won,Closed,1.0,2023-06-15,2023-07-03,2025-06-22,True,True
OPP-8,ACC-7258,AE-6,CMP-7,8487,8487.0,707.25,12,Demo,Commit,0.5771351545524431,2023-04-21,,,False,False
OPP-9,ACC-5574,AE-19,CMP-26,6949,13898.0,579.08,24,Closed Lost,Closed,0.0,2023-10-02,2023-10-20,,False,True
OPP-10,ACC-142,AE-14,CMP-0,15365,15365.0,1280.42,12,Proposal,Upside,0.23795057035450817,2023-05-14,,,False,False
OPP-11,ACC-9357,AE-2,CMP-93,19385,58155.0,1615.42,36,Closed Lost,Closed,0.0,2023-11-15,2023-12-02,,False,True
OPP-12,ACC-4039,AE-9,CMP-83,12621,25242.0,1051.75,24,Closed Lost,Closed,0.0,2023-09-20,2023-10-26,,False,True
OPP-13,ACC-483,AE-16,CMP-11,16112,32224.0,1342.67,24,Closed Won,Closed,1.0,2023-09-02,2023-09-24,2025-09-13,True,True
