history_id,opportunity_id,from_stage,to_stage,change_date
bfdff79f-540a-45a0-8c3d-1164d6a0426e,OPP-0,Discovery,,2023-09-21
7673ce74-d0b6-4a23-9040-6403f542be3f,OPP-0,Demo,,2023-09-25
951558a2-e61f-4b11-8510-49aea82de40e,OPP-0,Proposal,,2023-09-29
2fa7c9d5-d0e2-4390-bbd2-24fc5eeb126b,OPP-0,Negotiation,,2023-09-30
120727e8-ea60-481b-b712-1565ade6a8c3,OPP-1,Discovery,,2023-09-20
9852b3c2-2728-4c46-b35b-7cecdea25d7a,OPP-1,Demo,,2023-09-27
e9525bf4-0c55-4f16-b081-bc27fb026439,OPP-1,Proposal,,2023-09-30
74607a44-c3d2-4e0b-9041-94cb681831a4,OPP-1,Negotiation,,2023-10-10
12a418a6-8ab6-4edb-a0a9-ffa191c0a0cd,OPP-1,Closed Lost,Closed Lost,2023-10-17
fcc5cc34-101c-4425-9912-76a7bd59daa8,OPP-2,Discovery,,2022-05-29
a7190a38-f91f-453e-b297-a8650316e9fb,OPP-2,Demo,,2022-06-04
033b9c58-70a8-4b53-b2b1-673022972675,OPP-3,Discovery,,2023-09-14
aab91348-afc7-4961-bb69-b36e0319f837,OPP-3,Demo,,2023-09-19
fdf323a9-3381-43cb-be58-3b1900911d96,OPP-3,Proposal,,2023-09-21
ac9e936c-2ce8-4dde-8770-955ff9f56080,OPP-3,Negotiation,,2023-09-26
b4a64831-737c-4778-a81a-673ffd9d6365,OPP-3,Closed Lost,Closed Lost,2023-10-06
ec1e2c69-33c9-458e-a89f-80ae84a90369,OPP-4,Discovery,,2022-09-06
258aaf88-6755-4770-82bd-1e56de100e5b,OPP-4,Demo,,2022-09-20
90165890-473a-44b8-a8ee-9209985e929b,OPP-4,Proposal,,2022-10-03
08b28b7c-8cf1-41cf-a872-264d068a1dbc,OPP-4,Negotiation,,2022-10-07
ca3eb05b-7652-4c14-96ba-9242a6e7f9d9,OPP-4,Closed Won,Closed Won,2022-10-20
ef2ebb1a-8ec9-4e94-bd66-0e16e151bf43,OPP-5,Discovery,,2022-08-16
33641d6d-a35a-43e3-bb30-35e035fee6b3,OPP-5,Demo,,2022-08-22
a828585e-6818-4d70-9fa8-82ebe68386a4,OPP-5,Proposal,,2022-08-27
0cdb2069-b741-4c35-b2ae-1aacee927deb,OPP-5,Negotiation,,2022-08-31
325e9886-8ee1-4f9b-8436-ece6a0454e6f,OPP-5,Closed Won,Closed Won,2022-09-02
be4f36f7-691a-4421-b62f-5f3ef35fcba5,OPP-6,Discovery,,2022-12-25
f4465d8b-87a8-4df7-ad65-6c211a6f3291,OPP-6,Demo,,2022-12-28
bc0dd9e6-481a-4440-8841-59061bf4bd14,OPP-6,Proposal,,2023-01-04
d493985f-379c-48e0-a55c-576f6cb7fdc6,OPP-6,Negotiation,,2023-01-08
1d80832c-7d5b-4264-9dcc-2add339296be,OPP-7,Discovery,,2023-06-15
64ce4645-5445-4a07-a630-027353a806bf,OPP-7,Demo,,2023-06-20
765d964b-d4d2-415a-8214-e54b22b07b52,OPP-7,Proposal,,2023-06-24
c3da6a7a-919a-4e7e-b7b3-79e6601b0b06,OPP-7,Negotiation,,2023-07-01
0e1a4152-f32b-46d8-945e-21d96ad38b03,OPP-7,Closed Won,Closed Won,2023-07-03
18d7f730-d444-4d21-a6c3-82033cb664a7,OPP-8,Discovery,,2023-04-21
647dbf0a-78dc-4b23-9d5f-b1c797319071,OPP-8,Demo,,2023-04-25
60c0b0c5-5110-402f-a8dd-46d02cb124ff,OPP-9,Discovery,,2023-10-02
66075988-f25a-4b31-8bce-8da9ac09ec64,OPP-9,Demo,,2023-10-07
72031c9a-6119-4d13-8dec-715bdb8314ed,OPP-9,Proposal,,2023-10-09
